Title,Release Date,Rating,Plot
Assassino por Acaso,2023,7.0,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Bad Boys: Até o Fim,2024,7.0,"This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run."
Godzilla Minus One,2023,7.8,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
O Dublê,2024,7.0,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Guerra Civil,2024,7.2,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
A Primeira Profecia,2024,6.5,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hop... Read all"
Planeta dos Macacos: O Reinado,2024,7.2,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all"
Furiosa: Uma Saga Mad Max,2024,7.8,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Sob as Águas do Sena,2024,5.3,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine."
Duna: Parte 2,2024,8.6,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Atlas,2024,5.6,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Mad Max: Estrada da Fúria,2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named ... Read all"
Rivais,2024,7.3,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend."
Amigos Imaginários,2024,6.7,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Os Observadores,2024,5.8,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatur... Read all"
In a Violent Nature,2024,6.3,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 60-year old crime, his body is resurre... Read all"
Garfield - Fora de Casa,2024,5.8,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist... Read all"
The Ministry of Ungentlemanly Warfare,2024,6.9,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
As Cores do Mal: Vermelho,2024,6.3,"When a girl's body is found on a beach in Poland's Tricity, a prosecutor teams up with the victim's mother on an impassioned quest for the truth."
Divertida Mente 2,2024,8.0,"Follows Riley, in her teenage years, encountering new emotions."
Os Estranhos: Capítulo 1,2024,4.7,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike wi... Read all"
Godzilla e Kong: O Novo Império,2024,6.2,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
